,baseline,awp_1,awp_2,awp_3,awp_4,awp_5,awp_6,awp_7,awp_8,awp_9,awp_10,awp_11,awp_12,awp_13,awp_14,awp_15,awp_16,awp_17,awp_18,awp_19,awp_20,awp_21,awp_22,awp_23,awp_24,awp_25,awp_26,awp_27,awp_28,awp_29,awp_30,awp_31,awp_32,awp_33,awp_34,awp_35,awp_36,awp_37,awp_38,awp_39,awp_40,awp_41,awp_42,awp_43,awp_44,awp_45,awp_46,awp_47,awp_48,awp_49,awp_50
awp_38,0.999821,0.999472,0.999981,0.999960,0.999386,0.999972,0.999376,0.999384,0.999310,0.999991,0.999977,0.999924,0.999396,0.999327,0.999421,0.999312,0.999454,0.999396,0.999970,0.999970,0.999981,0.999421,0.999982,0.999406,0.999312,0.999365,0.999422,0.999393,0.999981,0.999443,0.999969,0.999920,0.999958,0.999920,0.999907,0.999942,0.999383,0.999365,1.000000,0.999400,0.999451,0.999367,0.999945,0.999437,0.999937,0.999968,0.999397,0.999925,0.999386,0.999973,0.999417
awp_39,0.999868,0.999968,0.999423,0.999405,0.999974,0.999419,0.999989,0.999975,0.999947,0.999412,0.999404,0.999353,0.999977,0.999962,0.999993,0.999928,0.999983,0.999979,0.999422,0.999408,0.999423,0.999986,0.999420,0.999953,0.999928,0.999933,0.999984,0.999993,0.999414,0.999989,0.999390,0.999333,0.999348,0.999316,0.999297,0.999364,0.999988,0.999933,0.999400,1.000000,0.999983,0.999992,0.999444,0.999980,0.999433,0.999389,0.999983,0.999421,0.999974,0.999379,0.999967
awp_40,0.999890,0.999992,0.999465,0.999450,0.999968,0.999461,0.999981,0.999972,0.999938,0.999458,0.999455,0.999415,0.999970,0.999948,0.999990,0.999926,0.999992,0.999979,0.999460,0.999446,0.999465,0.999983,0.999459,0.999972,0.999926,0.999926,0.999984,0.999984,0.999462,0.999993,0.999440,0.999385,0.999413,0.999383,0.999363,0.999414,0.999986,0.999926,0.999451,0.999983,1.000000,0.999972,0.999459,0.999993,0.999446,0.999439,0.999982,0.999434,0.999968,0.999438,0.999983
awp_41,0.999851,0.999954,0.999393,0.999376,0.999971,0.999394,0.999987,0.999971,0.999952,0.999381,0.999373,0.999327,0.999971,0.999961,0.999987,0.999929,0.999972,0.999984,0.999396,0.999377,0.999391,0.999986,0.999394,0.999940,0.999929,0.999923,0.999980,0.999992,0.999380,0.999980,0.999357,0.999300,0.999313,0.999279,0.999262,0.999336,0.999985,0.999923,0.999367,0.999992,0.999972,1.000000,0.999425,0.999971,0.999414,0.999356,0.999976,0.999403,0.999971,0.999343,0.999955
awp_42,0.999827,0.999454,0.999948,0.999939,0.999427,0.999968,0.999425,0.999422,0.999380,0.999953,0.999952,0.999888,0.999430,0.999401,0.999451,0.999366,0.999464,0.999431,0.999975,0.999934,0.999961,0.999445,0.999968,0.999409,0.999366,0.999387,0.999452,0.999432,0.999942,0.999460,0.999924,0.999864,0.999891,0.999837,0.999839,0.999901,0.999428,0.999387,0.999945,0.999444,0.999459,0.999425,1.000000,0.999449,0.999991,0.999910,0.999431,0.999987,0.999427,0.999938,0.999430
awp_43,0.999884,0.999988,0.999451,0.999437,0.999964,0.999452,0.999977,0.999969,0.999940,0.999445,0.999443,0.999405,0.999966,0.999944,0.999987,0.999926,0.999988,0.999979,0.999450,0.999430,0.999449,0.999981,0.999447,0.999970,0.999926,0.999921,0.999982,0.999982,0.999443,0.999989,0.999426,0.999369,0.999399,0.999359,0.999344,0.999399,0.999984,0.999921,0.999437,0.999980,0.999993,0.999971,0.999449,1.000000,0.999436,0.999422,0.999977,0.999425,0.999964,0.999426,0.999980
awp_44,0.999817,0.999438,0.999941,0.999933,0.999417,0.999960,0.999413,0.999410,0.999371,0.999946,0.999946,0.999875,0.999421,0.999391,0.999438,0.999356,0.999451,0.999419,0.999969,0.999927,0.999953,0.999433,0.999960,0.999396,0.999356,0.999379,0.999438,0.999420,0.999933,0.999447,0.999914,0.999852,0.999881,0.999819,0.999826,0.999889,0.999417,0.999379,0.999937,0.999433,0.999446,0.999414,0.999991,0.999436,1.000000,0.999902,0.999420,0.999993,0.999417,0.999932,0.999418
awp_45,0.999800,0.999462,0.999960,0.999934,0.999379,0.999937,0.999366,0.999374,0.999284,0.999968,0.999948,0.999893,0.999390,0.999307,0.999411,0.999287,0.999445,0.999381,0.999934,0.999953,0.999954,0.999411,0.999953,0.999390,0.999287,0.999354,0.999412,0.999383,0.999961,0.999433,0.999949,0.999907,0.999937,0.999913,0.999906,0.999922,0.999367,0.999354,0.999968,0.999389,0.999439,0.999356,0.999910,0.999422,0.999902,1.000000,0.999387,0.999886,0.999379,0.999940,0.999401
awp_46,0.999865,0.999969,0.999416,0.999404,0.999967,0.999415,0.999985,0.999971,0.999945,0.999405,0.999409,0.999348,0.999966,0.999954,0.999983,0.999918,0.999980,0.999971,0.999420,0.999400,0.999420,0.999973,0.999412,0.999956,0.999918,0.999921,0.999976,0.999980,0.999413,0.999982,0.999382,0.999325,0.999349,0.999313,0.999298,0.999356,0.999987,0.999921,0.999397,0.999983,0.999982,0.999976,0.999431,0.999977,0.999420,0.999387,1.000000,0.999409,0.999967,0.999387,0.999969
awp_47,0.999807,0.999423,0.999928,0.999922,0.999405,0.999953,0.999402,0.999398,0.999366,0.999933,0.999935,0.999866,0.999408,0.999384,0.999426,0.999350,0.999438,0.999409,0.999964,0.999912,0.999943,0.999420,0.999951,0.999386,0.999350,0.999364,0.999426,0.999408,0.999920,0.999434,0.999900,0.999836,0.999868,0.999800,0.999813,0.999876,0.999408,0.999364,0.999925,0.999421,0.999434,0.999403,0.999987,0.999425,0.999993,0.999886,0.999409,1.000000,0.999405,0.999924,0.999408
awp_48,0.999854,0.999955,0.999407,0.999394,1.000000,0.999407,0.999972,0.999958,0.999936,0.999397,0.999399,0.999340,0.999963,0.999943,0.999972,0.999915,0.999967,0.999961,0.999411,0.999392,0.999408,0.999964,0.999408,0.999941,0.999915,0.999913,0.999966,0.999974,0.999399,0.999971,0.999370,0.999310,0.999340,0.999297,0.999288,0.999349,0.999977,0.999913,0.999386,0.999974,0.999968,0.999971,0.999427,0.999964,0.999417,0.999379,0.999967,0.999405,1.000000,0.999372,0.999954
awp_49,0.999812,0.999460,0.999961,0.999955,0.999372,0.999972,0.999360,0.999365,0.999318,0.999973,0.999985,0.999915,0.999378,0.999328,0.999401,0.999305,0.999438,0.999386,0.999975,0.999945,0.999975,0.999396,0.999970,0.999405,0.999305,0.999341,0.999403,0.999370,0.999970,0.999423,0.999948,0.999890,0.999939,0.999885,0.999886,0.999921,0.999379,0.999341,0.999973,0.999379,0.999438,0.999343,0.999938,0.999426,0.999932,0.999940,0.999387,0.999924,0.999372,1.000000,0.999417
awp_50,0.999870,0.999978,0.999430,0.999420,0.999954,0.999435,0.999967,0.999959,0.999939,0.999424,0.999430,0.999379,0.999954,0.999944,0.999973,0.999920,0.999977,0.999968,0.999437,0.999410,0.999436,0.999966,0.999429,0.999965,0.999920,0.999913,0.999966,0.999966,0.999431,0.999976,0.999399,0.999340,0.999377,0.999330,0.999326,0.999375,0.999977,0.999913,0.999417,0.999967,0.999983,0.999955,0.999430,0.999980,0.999418,0.999401,0.999969,0.999408,0.999954,0.999417,1.000000
